0,1,2
-430.986194707246,23.895394081132977,-33.59166597806927
-316.9878781219477,15.502599884261672,-26.501958469272203
-260.69883666146467,-5.6488503109911665,-21.725363392869518
-215.71674099981922,-29.64381322055624,-19.162016760391907
-158.97113681589207,-39.67511150077783,-18.865357130658168
-156.93962641323,-50.82901364775061,-21.223354057063467
-160.56453587349168,-58.35869374985253,-30.018709363288515
-149.0504981743388,-64.12573912991593,-29.117314151421393
-167.24908880292872,-67.57796307246113,-34.11971387505131
-131.37081615955032,-66.76655173358331,-31.584136566614433
-97.97230547497747,-64.08658785451608,-27.049246845710208
-74.6404391431104,-61.863720521486606,-23.301082755244224
-55.53104703786413,-59.68667502481907,-21.85673975450207
-86.2589167405855,-62.244294856756945,-30.466831188051877
-82.22401253289631,-61.85333237205009,-28.121947269251194
-102.48865530793795,-60.06190178322362,-32.474372763330926
-121.12669402216285,-61.61867495351961,-35.25841255971915
-89.18892655911534,-58.36762659596785,-29.776599127072746
-66.10899023803589,-55.966885568958475,-25.60826622326564
-49.507022168467586,-54.089487791677904,-22.432389648479887
-57.7636554263232,-55.011354955033816,-21.94924531974851
-92.37460512319586,-57.39210717630641,-29.439622028721466
-86.03237188630496,-57.67300211133242,-26.37051146149196
-63.45121851113963,-54.9746403841695,-23.12077051927512
-90.36860714597296,-57.17807408888422,-27.441661907408715
-113.27175564052868,-58.55734201529905,-33.631318673181624
-126.80605319668574,-58.34914136993524,-37.57789032630965
-112.0736838024529,-56.94963619818137,-32.8515616644994
-124.53082507749058,-57.63735023744016,-34.34146050549467
-133.39350434897722,-58.05154669739444,-35.42904539010846
-97.77972004134634,-54.62167742966748,-29.545322593251562
-71.76187388675052,-52.22068083629638,-25.11264984286319
-52.75099103685743,-50.296421650249904,-21.833181428364412
-38.87782014292431,-48.83148643811667,-19.48296530222679
-41.01454443128028,-51.43841385779363,-18.86755657593505
-47.64944354736294,-52.91047325736694,-18.04403401433279
-55.35519831939965,-53.76404981477693,-17.649000253177437
-61.78624497046893,-54.70486036068899,-17.287682775310522
-64.60279322865665,-53.65996923732095,-17.482733344042465
-66.59794753227759,-52.9908734215351,-17.514180653082775
-97.18598789433452,-54.06015870840578,-23.521405089209285
-93.58729980378332,-54.75266370635477,-21.828516911341907
-113.35732094261841,-55.38149788342689,-26.419407168963552
-105.71471109920856,-55.795542446656995,-23.957481861868104
-122.60665694208949,-56.05338056880311,-28.277068234569423
-90.14683628387488,-52.35360197308521,-24.074740089276087
-66.47681080857802,-49.556895765925056,-21.00952751156605
-65.7114254618396,-51.360105045818514,-21.43950661853894
-70.31989736094741,-52.44945879279786,-20.377717859157126
-65.88549183444952,-52.4573406819817,-19.531117982789528
-48.74809493240918,-49.32085435486754,-17.668239863376
-36.370378702495834,-46.089328655503245,-12.92469106978794
-25.37989392659184,-40.05126445365826,-13.17178209079119
-18.530186322509685,-25.637349728143313,-13.291703584164676
-13.522864705454214,-19.980320170326685,-11.944837769173938
-9.869453308971826,-14.566616400890076,-11.582368606688744
-7.203154700477808,-10.631188710459814,-11.317906276218455
-5.257181325611307,-7.758965986040658,-11.124909272725567
-3.836925815052797,-5.6627192501302055,-10.984057989393833
-2.8003614154162424,-4.132808525709209,-10.881262461671614
-2.0438314425479573,-3.016230309344916,-10.806240762380785
-1.49168279671535,-2.2013168281658966,-10.751489007347368
-1.088700552092316,-1.6065687273019504,-10.711530669299616
-0.7945864475311595,-1.1725047441976209,-10.682368833577584
-0.5799290544386166,-0.8557132789488693,-10.661086451376011
-0.4232626298532507,-0.6245109913589705,-10.645554592575884
-0.30892053899779176,-0.4557742716933668,-10.634219518984375
-0.22546858932511885,-0.33262672216508316,-10.625947283329626
-0.16456160932116054,-0.24275139019125763,-10.619910312484242
-0.12010892951265265,-0.17715897077448095,-10.61550463266664
-3.455427404121176,-0.1355322663008391,-9.729195449106905
-2.5221689092207686,-0.09918241116255255,-9.965459555289579
-1.8408315917776785,-0.07243488066980247,-10.137865369024077
-1.34352972335553,-0.05288199100639406,-10.26368945580754
-0.9805715662883581,-0.038604013978210346,-10.355520610725641
-0.7156677088414587,-0.02818024724156753,-10.422542876332177
-0.5223289605615341,-0.020570783753598436,-10.471458603499542
-0.3812217146905623,-0.015015939710476104,-10.507159391756764
-0.2782353380810478,-0.010961001298736525,-10.533215338698282
-0.20307125015667166,-0.008000985619996272,-10.552232058228627
-0.148213092148526,-0.005840245213824129,-10.5661112419899
-0.1081750957209611,-0.004262957798374363,-10.576240828082167
-0.07895350680534477,-0.0031115763190452594,-10.5836337946493
-0.057626209992936765,-0.0022710950377870425,-10.589029457570287
